# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	1	0	2	107	1	0	0	60	1	1	0	0	0	0	47
M	GU280_gp05	GU280_gp05	protein_coding	5	5	6	94	0	3	0	44	4	4	0	1	0	5	50
N	GU280_gp10	GU280_gp10	protein_coding	2	4	17	68	1	1	1	9	2	14	0	0	0	4	59
ORF10	GU280_gp11	GU280_gp11	protein_coding	0	1	3	84	0	0	0	5	0	3	0	0	0	1	79
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	53	44	77	53	6	11	0	52	53	60	0	0	0	44	1
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	28	32	50	44	3	7	0	43	28	40	0	0	0	32	1
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	1	0	3	28	0	3	0	27	1	0	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	3	3	6	42	0	0	0	37	3	6	0	0	0	3	5
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	15	11	20	65	2	3	0	48	15	15	0	0	0	11	17
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	2	7	6	89	0	0	0	48	2	6	0	0	0	7	41
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	2	1	4	96	0	0	0	47	2	4	0	0	0	1	49
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	4	3	4	91	0	1	0	42	4	3	0	0	0	3	49
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	0	3	1	91	0	0	0	42	0	1	0	0	0	3	49
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	0	1	3	97	0	0	0	45	0	3	0	0	0	1	52
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	0	1	1	96	0	0	0	45	0	1	0	0	0	1	51
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	1	2	1	93	0	0	0	44	1	1	0	0	0	2	49
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	10	2	12	88	4	3	0	41	10	5	0	0	0	2	47
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	5	4	8	87	0	0	0	42	5	8	0	0	0	4	45
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	5	3	4	79	0	0	0	34	5	4	0	0	0	3	45
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	3	1	1	92	0	0	0	48	3	1	1	0	0	1	44
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	2	2	3	90	0	1	0	52	2	2	0	0	0	2	38
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	0	1	90	1	0	0	43	0	0	0	0	0	0	47
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	1	0	3	28	0	3	0	27	1	0	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	3	3	6	42	0	0	0	37	3	6	0	0	0	3	5
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	15	11	20	65	2	3	0	48	15	15	0	0	0	11	17
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	2	7	6	89	0	0	0	48	2	6	0	0	0	7	41
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	2	1	4	96	0	0	0	47	2	4	0	0	0	1	49
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	4	3	4	91	0	1	0	42	4	3	0	0	0	3	49
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	0	3	1	91	0	0	0	42	0	1	0	0	0	3	49
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	0	1	3	97	0	0	0	45	0	3	0	0	0	1	52
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	0	1	1	96	0	0	0	45	0	1	0	0	0	1	51
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	1	2	1	93	0	0	0	44	1	1	0	0	0	2	49
ORF3a	GU280_gp03	GU280_gp03	protein_coding	1	4	8	106	0	1	0	63	1	7	0	0	0	4	43
ORF6	GU280_gp06	GU280_gp06	protein_coding	2	1	0	99	0	0	0	41	2	0	1	0	1	1	58
ORF7a	GU280_gp07	GU280_gp07	protein_coding	1	2	2	94	0	0	0	36	1	2	0	0	0	2	58
ORF7b	GU280_gp08	GU280_gp08	protein_coding	0	0	0	94	0	0	0	36	0	0	0	0	0	0	58
ORF8	GU280_gp09	GU280_gp09	protein_coding	2	0	2	89	0	0	0	32	2	2	0	0	0	0	57
S	GU280_gp02	GU280_gp02	protein_coding	10	9	15	116	0	1	0	76	10	14	0	0	0	9	40
