# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	0	0	1	83	0	0	33	0	1	0	0	0	0	0	50
M	GU280_gp05	GU280_gp05	protein_coding	6	0	4	74	0	2	23	6	2	0	0	0	0	0	51
N	GU280_gp10	GU280_gp10	protein_coding	5	0	3	49	1	0	6	5	2	0	0	0	0	0	43
ORF10	GU280_gp11	GU280_gp11	protein_coding	0	0	1	45	0	0	5	0	1	0	0	0	0	0	40
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	60	14	24	52	5	10	52	59	10	0	0	1	0	14	0
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	31	10	12	30	1	5	30	30	7	0	0	1	0	10	0
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	0	0	1	25	1	0	25	0	0	0	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	7	1	0	27	0	0	26	7	0	0	0	0	0	1	1
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	16	7	8	22	0	5	13	15	4	0	0	1	0	7	9
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	1	1	0	50	0	0	22	1	0	0	0	0	0	1	28
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	1	1	0	47	0	0	28	1	0	0	0	0	0	1	19
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	5	0	3	36	0	0	21	5	3	0	0	0	0	0	15
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	0	0	0	45	0	0	23	0	0	0	0	0	0	0	22
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	0	0	0	49	0	0	28	0	0	0	0	0	0	0	21
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	0	0	0	45	0	0	28	0	0	0	0	0	0	0	17
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	1	0	0	46	0	0	30	1	0	0	0	0	0	0	16
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	10	2	7	39	3	3	26	10	1	0	0	0	0	2	13
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	6	0	2	69	1	1	44	6	0	0	0	0	0	0	25
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	6	2	1	75	0	1	47	6	0	0	0	0	0	2	28
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	5	0	1	76	0	0	47	5	1	0	0	0	0	0	29
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	2	0	1	75	0	0	52	2	1	0	0	0	0	0	23
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	0	0	43	0	0	30	0	0	0	0	0	0	0	13
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	0	0	1	25	1	0	25	0	0	0	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	7	1	0	27	0	0	26	7	0	0	0	0	0	1	1
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	16	7	8	22	0	5	13	15	4	0	0	1	0	7	9
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	1	1	0	50	0	0	22	1	0	0	0	0	0	1	28
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	1	1	0	47	0	0	28	1	0	0	0	0	0	1	19
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	5	0	3	36	0	0	21	5	3	0	0	0	0	0	15
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	0	0	0	45	0	0	23	0	0	0	0	0	0	0	22
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	0	0	0	49	0	0	28	0	0	0	0	0	0	0	21
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	0	0	0	45	0	0	28	0	0	0	0	0	0	0	17
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	1	0	0	46	0	0	30	1	0	0	0	0	0	0	16
ORF3a	GU280_gp03	GU280_gp03	protein_coding	4	0	3	81	1	0	35	4	2	0	0	0	0	0	46
ORF6	GU280_gp06	GU280_gp06	protein_coding	2	0	0	65	0	0	21	2	0	0	0	0	0	0	44
ORF7a	GU280_gp07	GU280_gp07	protein_coding	0	1	0	58	0	0	20	0	0	1	0	0	1	0	38
ORF7b	GU280_gp08	GU280_gp08	protein_coding	1	1	1	55	0	0	18	0	1	0	1	0	0	1	37
ORF8	GU280_gp09	GU280_gp09	protein_coding	2	0	2	54	0	0	14	2	2	0	0	0	0	0	40
S	GU280_gp02	GU280_gp02	protein_coding	7	1	34	67	3	5	42	7	26	0	0	0	0	1	25
