# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	Gene_26244_26471	QHD43418.1	protein_coding	1	0	3	106	0	0	58	1	3	0	0	48
M	Gene_26522_27190	QHD43419.1	protein_coding	0	2	3	103	0	0	53	0	3	0	2	50
N	Gene_28273_29532	QHD43423.2	protein_coding	10	5	11	59	1	0	13	8	10	2	5	46
ORF10	Gene_29557_29673	QHI42199.1	protein_coding	0	4	4	65	0	0	4	0	4	0	4	61
ORF3a	Gene_25392_26219	QHD43417.1	protein_coding	1	2	5	110	0	0	62	1	5	0	2	48
ORF6	Gene_27201_27386	QHD43420.1	protein_coding	1	0	1	97	0	0	51	1	1	0	0	46
ORF7a	Gene_27393_27758	QHD43421.1	protein_coding	0	1	6	87	0	0	43	0	6	0	1	44
ORF8	Gene_27893_28258	QHD43422.1	protein_coding	1	0	1	87	0	0	39	1	1	0	0	48
S	Gene_21562_25383	QHD43416.1	protein_coding	7	5	24	125	1	1	70	7	22	0	5	55
orf1ab	Gene_265_21554	QHD43415.1	protein_coding	39	41	95	49	1	0	49	33	94	6	41	0
