# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	Gene_26244_26471	QHD43418.1	protein_coding	0	0	3	101	0	0	70	0	3	0	0	31
M	Gene_26522_27190	QHD43419.1	protein_coding	10	5	4	83	0	2	51	9	3	1	5	32
N	Gene_28273_29532	QHD43423.2	protein_coding	5	2	16	68	0	1	13	5	15	0	2	55
ORF10	Gene_29557_29673	QHI42199.1	protein_coding	1	1	4	81	0	0	7	1	4	0	1	74
ORF3a	Gene_25392_26219	QHD43417.1	protein_coding	1	2	5	104	0	0	73	1	5	0	2	31
ORF6	Gene_27201_27386	QHD43420.1	protein_coding	0	0	1	97	0	0	49	0	1	0	0	48
ORF7a	Gene_27393_27758	QHD43421.1	protein_coding	1	1	2	91	0	0	44	1	2	0	1	47
ORF8	Gene_27893_28258	QHD43422.1	protein_coding	2	0	3	88	0	0	36	2	3	0	0	52
S	Gene_21562_25383	QHD43416.1	protein_coding	7	5	9	106	0	0	81	7	9	0	5	25
orf1ab	Gene_265_21554	QHD43415.1	protein_coding	25	47	75	32	2	5	32	25	68	0	47	0
