# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	Gene_26244_26471	QHD43418.1	protein_coding	0	2	2	103	1	0	0	59	0	1	0	0	2	44
M	Gene_26522_27190	QHD43419.1	protein_coding	4	8	4	89	0	0	2	42	4	2	0	0	8	47
N	Gene_28273_29532	QHD43423.2	protein_coding	1	4	15	67	1	1	0	11	1	13	0	0	4	56
ORF10	Gene_29557_29673	QHI42199.1	protein_coding	0	0	3	78	0	0	0	8	0	3	0	0	0	70
ORF3a	Gene_25392_26219	QHD43417.1	protein_coding	2	2	6	101	0	0	0	63	2	6	0	0	2	38
ORF6	Gene_27201_27386	QHD43420.1	protein_coding	3	0	1	96	0	0	0	38	3	1	1	1	0	58
ORF7a	Gene_27393_27758	QHD43421.1	protein_coding	1	0	1	93	0	0	0	36	1	1	0	0	0	57
ORF8	Gene_27893_28258	QHD43422.1	protein_coding	0	2	3	85	1	0	0	31	0	2	0	0	2	54
S	Gene_21562_25383	QHD43416.1	protein_coding	6	7	19	105	0	0	1	73	6	18	0	0	7	32
orf1ab	Gene_265_21554	QHD43415.1	protein_coding	27	33	75	49	3	0	7	48	27	65	0	0	33	1
