# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	Gene_26244_26471	QHD43418.1	protein_coding	0	0	0	18	0	9	0	0	0	0	9
M	Gene_26522_27190	QHD43419.1	protein_coding	1	0	0	17	0	8	1	0	0	0	9
N	Gene_28273_29532	QHD43423.2	protein_coding	2	0	2	10	1	0	2	1	0	0	10
ORF10	Gene_29557_29673	QHI42199.1	protein_coding	0	0	0	10	0	0	0	0	0	0	10
ORF3a	Gene_25392_26219	QHD43417.1	protein_coding	0	0	1	19	0	9	0	1	0	0	10
ORF6	Gene_27201_27386	QHD43420.1	protein_coding	1	0	0	17	0	7	1	0	0	0	10
ORF7a	Gene_27393_27758	QHD43421.1	protein_coding	1	0	0	17	0	6	1	0	0	0	11
ORF8	Gene_27893_28258	QHD43422.1	protein_coding	2	0	0	14	0	4	1	0	1	0	10
S	Gene_21562_25383	QHD43416.1	protein_coding	5	0	3	15	1	10	5	2	0	0	5
orf1ab	Gene_265_21554	QHD43415.1	protein_coding	19	3	5	9	0	9	19	5	0	3	0
