# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	0	0	4	105	1	0	62	0	3	0	0	0	43
M	GU280_gp05	GU280_gp05	protein_coding	7	6	5	90	0	3	43	6	3	0	1	6	47
N	GU280_gp10	GU280_gp10	protein_coding	4	4	11	72	1	0	17	4	10	0	0	4	55
ORF10	GU280_gp11	GU280_gp11	protein_coding	0	1	5	77	0	0	10	0	5	0	0	1	67
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	65	48	87	51	5	18	48	64	65	0	1	48	3
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	36	33	55	47	3	11	44	35	42	0	1	33	3
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	2	0	5	40	2	3	37	2	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	5	4	6	52	0	1	42	4	6	0	1	4	10
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	20	12	22	73	0	6	48	20	16	0	0	12	25
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	1	7	5	102	0	0	52	1	5	0	0	7	50
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	1	2	2	103	0	0	56	1	2	0	0	2	47
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	5	2	7	96	0	0	50	5	7	0	0	2	46
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	0	1	3	96	1	0	47	0	2	0	0	1	49
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	1	2	4	96	0	0	44	1	4	0	0	2	52
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	1	2	1	97	0	1	42	1	0	0	0	2	55
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	0	1	0	98	0	0	44	0	0	0	0	1	54
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	10	3	14	96	2	4	48	10	8	0	0	3	48
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	3	3	8	103	0	0	48	3	8	0	0	3	55
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	3	4	3	92	0	1	50	3	2	0	0	4	42
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	8	2	4	88	0	1	47	8	3	2	0	2	41
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	5	3	3	91	0	1	48	5	2	0	0	3	43
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	0	0	92	0	0	44	0	0	0	0	0	48
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	2	0	5	40	2	3	37	2	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	5	4	6	52	0	1	42	4	6	0	1	4	10
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	20	12	22	73	0	6	48	20	16	0	0	12	25
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	1	7	5	102	0	0	52	1	5	0	0	7	50
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	1	2	2	103	0	0	56	1	2	0	0	2	47
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	5	2	7	96	0	0	50	5	7	0	0	2	46
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	0	1	3	96	1	0	47	0	2	0	0	1	49
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	1	2	4	96	0	0	44	1	4	0	0	2	52
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	1	2	1	97	0	1	42	1	0	0	0	2	55
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	0	1	0	98	0	0	44	0	0	0	0	1	54
ORF3a	GU280_gp03	GU280_gp03	protein_coding	3	0	8	115	1	0	66	2	7	0	1	0	49
ORF6	GU280_gp06	GU280_gp06	protein_coding	0	2	0	101	0	0	41	0	0	0	0	2	60
ORF7a	GU280_gp07	GU280_gp07	protein_coding	0	1	1	98	0	0	38	0	1	0	0	1	60
ORF7b	GU280_gp08	GU280_gp08	protein_coding	1	0	0	95	0	0	37	1	0	0	0	0	58
ORF8	GU280_gp09	GU280_gp09	protein_coding	0	1	0	94	0	0	36	0	0	0	0	1	58
S	GU280_gp02	GU280_gp02	protein_coding	12	6	13	123	2	2	77	12	9	0	0	6	46
