# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	Gene_26244_26471	QHD43418.1	protein_coding	2	0	2	109	1	0	70	2	1	0	39
M	Gene_26522_27190	QHD43419.1	protein_coding	9	4	3	95	0	0	53	9	3	4	42
N	Gene_28273_29532	QHD43423.2	protein_coding	4	8	19	63	0	0	10	4	19	8	53
ORF10	Gene_29557_29673	QHI42199.1	protein_coding	1	0	0	87	0	0	9	1	0	0	78
ORF3a	Gene_25392_26219	QHD43417.1	protein_coding	2	2	6	112	1	0	74	2	5	2	38
ORF6	Gene_27201_27386	QHD43420.1	protein_coding	2	0	0	102	0	0	51	2	0	0	51
ORF7a	Gene_27393_27758	QHD43421.1	protein_coding	0	2	0	100	0	0	49	0	0	2	51
ORF8	Gene_27893_28258	QHD43422.1	protein_coding	1	2	3	91	1	0	41	1	2	2	50
S	Gene_21562_25383	QHD43416.1	protein_coding	8	6	13	113	0	0	84	8	13	6	29
orf1ab	Gene_265_21554	QHD43415.1	protein_coding	38	34	63	44	2	8	43	38	53	34	1
