# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	2	0	2	109	1	0	70	2	1	0	0	39
M	GU280_gp05	GU280_gp05	protein_coding	9	4	3	95	0	0	53	9	3	0	4	42
N	GU280_gp10	GU280_gp10	protein_coding	4	8	19	63	0	0	10	4	19	0	8	53
ORF10	GU280_gp11	GU280_gp11	protein_coding	1	0	0	87	0	0	9	1	0	0	0	78
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	38	34	63	44	2	8	43	38	53	0	34	1
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	24	22	41	27	0	6	26	24	35	0	22	1
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	1	0	1	31	0	0	30	1	1	0	0	1
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	4	4	3	42	0	0	39	4	3	1	4	3
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	12	7	24	45	0	5	31	12	19	0	7	14
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	1	6	5	67	0	1	28	1	4	0	6	39
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	0	0	2	70	0	0	31	0	2	0	0	39
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	5	2	1	64	0	0	31	5	1	0	2	33
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	0	1	3	61	0	0	27	0	3	0	1	34
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	1	0	2	62	0	0	26	1	2	0	0	36
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	0	2	0	59	0	0	26	0	0	0	2	33
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	0	0	0	57	0	0	26	0	0	0	0	31
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	4	4	7	62	2	2	31	4	3	0	4	31
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	2	0	9	68	0	0	37	2	9	0	0	31
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	2	4	0	65	0	0	39	2	0	0	4	26
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	4	1	2	71	0	0	45	4	2	2	1	26
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	2	3	4	70	0	0	43	2	4	0	3	27
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	0	0	57	0	0	26	0	0	0	0	31
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	1	0	1	31	0	0	30	1	1	0	0	1
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	4	4	3	42	0	0	39	4	3	1	4	3
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	12	7	24	45	0	5	31	12	19	0	7	14
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	1	6	5	67	0	1	28	1	4	0	6	39
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	0	0	2	70	0	0	31	0	2	0	0	39
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	5	2	1	64	0	0	31	5	1	0	2	33
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	0	1	3	61	0	0	27	0	3	0	1	34
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	1	0	2	62	0	0	26	1	2	0	0	36
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	0	2	0	59	0	0	26	0	0	0	2	33
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	0	0	0	57	0	0	26	0	0	0	0	31
ORF3a	GU280_gp03	GU280_gp03	protein_coding	2	2	6	112	1	0	74	2	5	0	2	38
ORF6	GU280_gp06	GU280_gp06	protein_coding	2	0	0	102	0	0	51	2	0	0	0	51
ORF7a	GU280_gp07	GU280_gp07	protein_coding	0	2	0	100	0	0	49	0	0	0	2	51
ORF7b	GU280_gp08	GU280_gp08	protein_coding	0	0	2	97	0	0	47	0	2	0	0	50
ORF8	GU280_gp09	GU280_gp09	protein_coding	1	2	3	91	1	0	41	1	2	0	2	50
S	GU280_gp02	GU280_gp02	protein_coding	8	6	13	113	0	0	84	8	13	0	6	29
