# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	Gene_26244_26471	QHD43418.1	protein_coding	0	0	1	89	0	0	59	0	1	0	0	0	0	30
M	Gene_26522_27190	QHD43419.1	protein_coding	5	2	4	78	0	1	47	5	3	0	0	0	2	31
N	Gene_28273_29532	QHD43423.2	protein_coding	5	8	14	50	1	0	11	5	13	0	0	0	8	39
ORF10	Gene_29557_29673	QHI42199.1	protein_coding	0	1	2	69	0	0	7	0	2	0	0	0	1	62
ORF3a	Gene_25392_26219	QHD43417.1	protein_coding	2	0	5	93	0	2	60	2	3	0	0	0	0	33
ORF6	Gene_27201_27386	QHD43420.1	protein_coding	2	1	0	82	0	0	45	2	0	1	0	1	1	37
ORF7a	Gene_27393_27758	QHD43421.1	protein_coding	2	0	0	77	1	0	43	1	0	0	1	0	0	34
ORF8	Gene_27893_28258	QHD43422.1	protein_coding	1	1	1	74	0	0	38	1	1	0	0	0	1	36
S	Gene_21562_25383	QHD43416.1	protein_coding	7	0	14	101	0	0	67	7	14	0	0	0	0	34
orf1ab	Gene_265_21554	QHD43415.1	protein_coding	49	46	50	30	2	4	30	49	44	0	0	0	46	0
