# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	0	0	0	74	0	0	32	0	0	0	0	0	42
M	GU280_gp05	GU280_gp05	protein_coding	11	2	2	59	0	2	17	10	1	0	1	2	42
N	GU280_gp10	GU280_gp10	protein_coding	4	0	4	48	1	0	4	4	3	0	0	0	44
ORF10	GU280_gp11	GU280_gp11	protein_coding	0	0	1	42	0	0	3	0	1	0	0	0	39
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	55	18	23	44	5	9	43	55	9	0	0	18	1
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	28	11	13	27	1	4	26	28	8	0	0	11	1
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	0	1	1	18	0	0	17	0	1	0	0	1	1
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	4	1	2	24	0	0	21	4	2	0	0	1	3
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	14	5	6	29	1	3	19	14	2	0	0	5	10
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	0	1	0	50	0	0	27	0	0	0	0	1	23
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	3	1	0	46	0	0	27	3	0	0	0	1	19
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	4	1	1	42	0	0	26	4	1	0	0	1	16
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	1	1	1	42	0	0	24	1	1	0	0	1	18
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	1	0	1	47	0	0	26	1	1	0	0	0	21
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	1	0	0	45	0	0	25	1	0	0	0	0	20
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	0	0	1	44	0	1	26	0	0	0	0	0	18
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	7	1	7	47	3	3	29	7	1	0	0	1	18
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	5	3	1	65	1	0	38	5	0	0	0	3	27
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	7	2	2	66	0	2	41	7	0	0	0	2	25
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	4	0	0	71	0	0	43	4	0	1	0	0	28
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	4	1	0	68	0	0	43	4	0	0	0	1	25
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	0	0	44	0	0	26	0	0	0	0	0	18
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	0	1	1	18	0	0	17	0	1	0	0	1	1
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	4	1	2	24	0	0	21	4	2	0	0	1	3
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	14	5	6	29	1	3	19	14	2	0	0	5	10
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	0	1	0	50	0	0	27	0	0	0	0	1	23
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	3	1	0	46	0	0	27	3	0	0	0	1	19
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	4	1	1	42	0	0	26	4	1	0	0	1	16
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	1	1	1	42	0	0	24	1	1	0	0	1	18
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	1	0	1	47	0	0	26	1	1	0	0	0	21
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	1	0	0	45	0	0	25	1	0	0	0	0	20
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	0	0	1	44	0	1	26	0	0	0	0	0	18
ORF3a	GU280_gp03	GU280_gp03	protein_coding	2	0	2	76	0	0	32	2	2	0	0	0	44
ORF6	GU280_gp06	GU280_gp06	protein_coding	1	0	0	62	0	0	16	1	0	0	0	0	46
ORF7a	GU280_gp07	GU280_gp07	protein_coding	1	1	0	55	0	0	14	0	0	0	1	1	41
ORF7b	GU280_gp08	GU280_gp08	protein_coding	0	0	0	56	0	0	14	0	0	0	0	0	42
ORF8	GU280_gp09	GU280_gp09	protein_coding	1	1	0	54	0	0	12	1	0	0	0	1	42
S	GU280_gp02	GU280_gp02	protein_coding	16	2	20	63	3	1	36	16	16	0	0	2	27
