# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	Gene_26244_26471	QHD43418.1	protein_coding	1	0	2	107	1	0	0	60	1	1	0	0	0	0	47
M	Gene_26522_27190	QHD43419.1	protein_coding	5	5	6	94	0	3	0	44	4	4	0	1	0	5	50
N	Gene_28273_29532	QHD43423.2	protein_coding	2	4	17	68	1	1	1	9	2	14	0	0	0	4	59
ORF10	Gene_29557_29673	QHI42199.1	protein_coding	0	1	3	84	0	0	0	5	0	3	0	0	0	1	79
ORF3a	Gene_25392_26219	QHD43417.1	protein_coding	1	4	8	106	0	1	0	63	1	7	0	0	0	4	43
ORF6	Gene_27201_27386	QHD43420.1	protein_coding	2	1	0	99	0	0	0	41	2	0	1	0	1	1	58
ORF7a	Gene_27393_27758	QHD43421.1	protein_coding	1	2	2	94	0	0	0	36	1	2	0	0	0	2	58
ORF8	Gene_27893_28258	QHD43422.1	protein_coding	2	0	2	89	0	0	0	32	2	2	0	0	0	0	57
S	Gene_21562_25383	QHD43416.1	protein_coding	10	9	15	116	0	1	0	76	10	14	0	0	0	9	40
orf1ab	Gene_265_21554	QHD43415.1	protein_coding	53	44	77	53	6	11	0	52	53	60	0	0	0	44	1
