# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	0	0	3	101	0	0	70	0	3	0	0	0	31
M	GU280_gp05	GU280_gp05	protein_coding	10	5	4	83	0	2	51	9	3	0	1	5	32
N	GU280_gp10	GU280_gp10	protein_coding	5	2	16	68	0	1	13	5	15	0	0	2	55
ORF10	GU280_gp11	GU280_gp11	protein_coding	1	1	4	81	0	0	7	1	4	0	0	1	74
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	25	47	75	32	2	5	32	25	68	0	0	47	0
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	12	33	47	38	0	2	38	12	45	0	0	33	0
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	0	0	0	28	0	0	28	0	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	1	5	11	26	0	0	26	1	11	0	0	5	0
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	6	14	15	57	0	2	40	6	13	0	0	14	17
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	1	6	3	82	0	0	48	1	3	0	0	6	34
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	1	2	6	83	0	0	45	1	6	0	0	2	38
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	2	2	6	85	0	0	42	2	6	0	0	2	43
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	1	0	3	86	0	0	38	1	3	0	0	0	48
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	0	2	2	86	0	0	37	0	2	0	0	2	49
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	0	2	1	82	0	0	36	0	1	0	0	2	46
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	0	0	0	84	0	0	38	0	0	0	0	0	46
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	6	9	12	69	2	2	26	6	8	0	0	9	43
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	1	1	7	75	0	0	28	1	7	0	0	1	47
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	2	1	4	63	0	0	27	2	4	0	0	1	36
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	2	0	3	62	0	0	32	2	3	1	0	0	30
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	2	3	2	58	0	1	32	2	1	0	0	3	26
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	0	0	81	0	0	38	0	0	0	0	0	43
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	0	0	0	28	0	0	28	0	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	1	5	11	26	0	0	26	1	11	0	0	5	0
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	6	14	15	57	0	2	40	6	13	0	0	14	17
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	1	6	3	82	0	0	48	1	3	0	0	6	34
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	1	2	6	83	0	0	45	1	6	0	0	2	38
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	2	2	6	85	0	0	42	2	6	0	0	2	43
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	1	0	3	86	0	0	38	1	3	0	0	0	48
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	0	2	2	86	0	0	37	0	2	0	0	2	49
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	0	2	1	82	0	0	36	0	1	0	0	2	46
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	0	0	0	84	0	0	38	0	0	0	0	0	46
ORF3a	GU280_gp03	GU280_gp03	protein_coding	1	2	5	104	0	0	73	1	5	0	0	2	31
ORF6	GU280_gp06	GU280_gp06	protein_coding	0	0	1	97	0	0	49	0	1	0	0	0	48
ORF7a	GU280_gp07	GU280_gp07	protein_coding	1	1	2	91	0	0	44	1	2	0	0	1	47
ORF7b	GU280_gp08	GU280_gp08	protein_coding	1	0	2	90	0	0	41	1	2	0	0	0	49
ORF8	GU280_gp09	GU280_gp09	protein_coding	2	0	3	88	0	0	36	2	3	0	0	0	52
S	GU280_gp02	GU280_gp02	protein_coding	7	5	9	106	0	0	81	7	9	0	0	5	25
