# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	0	2	2	103	1	0	0	59	0	1	0	0	2	44
M	GU280_gp05	GU280_gp05	protein_coding	4	8	4	89	0	0	2	42	4	2	0	0	8	47
N	GU280_gp10	GU280_gp10	protein_coding	1	4	15	67	1	1	0	11	1	13	0	0	4	56
ORF10	GU280_gp11	GU280_gp11	protein_coding	0	0	3	78	0	0	0	8	0	3	0	0	0	70
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	27	33	75	49	3	0	7	48	27	65	0	0	33	1
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	17	22	41	38	1	0	3	37	17	37	0	0	22	1
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	0	1	0	21	0	0	0	20	0	0	0	0	1	1
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	1	4	3	33	0	0	0	31	1	3	0	0	4	2
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	12	12	18	39	0	0	3	29	12	15	0	0	12	10
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	0	2	7	73	0	0	0	33	0	7	0	0	2	40
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	0	1	4	71	0	0	0	30	0	4	0	0	1	41
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	3	0	3	73	0	0	0	34	3	3	0	0	0	39
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	0	1	1	67	0	0	0	32	0	1	0	0	1	35
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	1	0	4	72	1	0	0	35	1	3	0	0	0	37
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	0	1	0	76	0	0	0	38	0	0	0	0	1	38
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	0	0	1	70	0	0	0	37	0	1	0	0	0	33
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	6	2	9	65	2	0	2	36	6	5	0	0	2	29
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	2	4	14	66	0	0	1	35	2	13	0	0	4	31
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	0	3	4	73	0	0	1	35	0	3	0	0	3	38
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	1	0	5	79	0	0	0	43	1	5	1	0	0	36
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	1	2	2	83	0	0	0	48	1	2	0	0	2	35
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	0	0	66	0	0	0	37	0	0	0	0	0	29
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	0	1	0	21	0	0	0	20	0	0	0	0	1	1
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	1	4	3	33	0	0	0	31	1	3	0	0	4	2
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	12	12	18	39	0	0	3	29	12	15	0	0	12	10
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	0	2	7	73	0	0	0	33	0	7	0	0	2	40
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	0	1	4	71	0	0	0	30	0	4	0	0	1	41
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	3	0	3	73	0	0	0	34	3	3	0	0	0	39
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	0	1	1	67	0	0	0	32	0	1	0	0	1	35
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	1	0	4	72	1	0	0	35	1	3	0	0	0	37
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	0	1	0	76	0	0	0	38	0	0	0	0	1	38
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	0	0	1	70	0	0	0	37	0	1	0	0	0	33
ORF3a	GU280_gp03	GU280_gp03	protein_coding	2	2	6	101	0	0	0	63	2	6	0	0	2	38
ORF6	GU280_gp06	GU280_gp06	protein_coding	3	0	1	96	0	0	0	38	3	1	1	1	0	58
ORF7a	GU280_gp07	GU280_gp07	protein_coding	1	0	1	93	0	0	0	36	1	1	0	0	0	57
ORF7b	GU280_gp08	GU280_gp08	protein_coding	0	0	0	91	0	0	0	36	0	0	0	0	0	55
ORF8	GU280_gp09	GU280_gp09	protein_coding	0	2	3	85	1	0	0	31	0	2	0	0	2	54
S	GU280_gp02	GU280_gp02	protein_coding	6	7	19	105	0	0	1	73	6	18	0	0	7	32
