# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	Gene_26244_26471	QHD43418.1	protein_coding	0	0	4	105	1	0	62	0	3	0	0	43
M	Gene_26522_27190	QHD43419.1	protein_coding	7	6	5	90	0	3	43	6	3	1	6	47
N	Gene_28273_29532	QHD43423.2	protein_coding	4	4	11	72	1	0	17	4	10	0	4	55
ORF10	Gene_29557_29673	QHI42199.1	protein_coding	0	1	5	77	0	0	10	0	5	0	1	67
ORF3a	Gene_25392_26219	QHD43417.1	protein_coding	3	0	8	115	1	0	66	2	7	1	0	49
ORF6	Gene_27201_27386	QHD43420.1	protein_coding	0	2	0	101	0	0	41	0	0	0	2	60
ORF7a	Gene_27393_27758	QHD43421.1	protein_coding	0	1	1	98	0	0	38	0	1	0	1	60
ORF8	Gene_27893_28258	QHD43422.1	protein_coding	0	1	0	94	0	0	36	0	0	0	1	58
S	Gene_21562_25383	QHD43416.1	protein_coding	12	6	13	123	2	2	77	12	9	0	6	46
orf1ab	Gene_265_21554	QHD43415.1	protein_coding	65	48	87	51	5	18	48	64	65	1	48	3
