# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	0	0	1	89	0	0	59	0	1	0	0	0	0	30
M	GU280_gp05	GU280_gp05	protein_coding	5	2	4	78	0	1	47	5	3	0	0	0	2	31
N	GU280_gp10	GU280_gp10	protein_coding	5	8	14	50	1	0	11	5	13	0	0	0	8	39
ORF10	GU280_gp11	GU280_gp11	protein_coding	0	1	2	69	0	0	7	0	2	0	0	0	1	62
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	49	46	50	30	2	4	30	49	44	0	0	0	46	0
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	23	28	33	39	0	2	39	23	31	0	0	0	28	0
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	1	0	0	27	0	0	27	1	0	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	2	4	2	37	0	0	36	2	2	0	0	0	4	1
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	12	14	17	42	0	2	33	12	15	0	0	0	14	9
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	4	3	5	72	0	0	33	4	5	0	0	0	3	39
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	1	3	2	72	0	0	33	1	2	0	0	0	3	39
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	2	1	2	75	0	0	37	2	2	0	0	0	1	38
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	0	0	1	76	0	0	39	0	1	0	0	0	0	37
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	1	0	2	79	0	0	41	1	2	0	0	0	0	38
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	0	3	1	73	0	0	39	0	1	0	0	0	3	34
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	0	0	1	74	0	0	39	0	1	0	0	0	0	35
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	11	6	5	69	2	1	37	11	2	0	0	0	6	32
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	4	5	7	69	0	0	34	4	7	0	0	0	5	35
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	4	2	1	71	0	0	32	4	1	0	0	0	2	39
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	5	1	1	69	0	0	36	5	1	2	0	0	1	33
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	2	4	3	65	0	1	30	2	2	0	0	0	4	35
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	0	0	71	0	0	39	0	0	0	0	0	0	32
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	1	0	0	27	0	0	27	1	0	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	2	4	2	37	0	0	36	2	2	0	0	0	4	1
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	12	14	17	42	0	2	33	12	15	0	0	0	14	9
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	4	3	5	72	0	0	33	4	5	0	0	0	3	39
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	1	3	2	72	0	0	33	1	2	0	0	0	3	39
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	2	1	2	75	0	0	37	2	2	0	0	0	1	38
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	0	0	1	76	0	0	39	0	1	0	0	0	0	37
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	1	0	2	79	0	0	41	1	2	0	0	0	0	38
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	0	3	1	73	0	0	39	0	1	0	0	0	3	34
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	0	0	1	74	0	0	39	0	1	0	0	0	0	35
ORF3a	GU280_gp03	GU280_gp03	protein_coding	2	0	5	93	0	2	60	2	3	0	0	0	0	33
ORF6	GU280_gp06	GU280_gp06	protein_coding	2	1	0	82	0	0	45	2	0	1	0	1	1	37
ORF7a	GU280_gp07	GU280_gp07	protein_coding	2	0	0	77	1	0	43	1	0	0	1	0	0	34
ORF7b	GU280_gp08	GU280_gp08	protein_coding	0	1	1	75	0	0	41	0	1	0	0	0	1	34
ORF8	GU280_gp09	GU280_gp09	protein_coding	1	1	1	74	0	0	38	1	1	0	0	0	1	36
S	GU280_gp02	GU280_gp02	protein_coding	7	0	14	101	0	0	67	7	14	0	0	0	0	34
