# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	2	0	1	97	0	0	0	0	38	2	1	0	0	0	0	59
M	GU280_gp05	GU280_gp05	protein_coding	9	2	2	84	0	0	4	0	25	7	0	0	2	0	2	59
N	GU280_gp10	GU280_gp10	protein_coding	6	0	5	61	1	0	1	0	6	5	3	0	1	0	0	55
ORF10	GU280_gp11	GU280_gp11	protein_coding	2	0	0	56	0	0	0	0	3	2	0	0	0	0	0	53
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	78	39	74	61	6	0	14	0	59	77	55	0	2	0	39	2
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	54	30	40	30	3	0	9	0	28	53	29	0	2	0	30	2
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	2	1	1	38	1	0	0	0	36	2	0	0	0	0	1	2
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	11	5	3	41	0	0	1	0	35	10	3	0	1	0	5	6
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	16	12	16	82	0	0	5	0	57	16	11	0	0	0	12	25
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	2	2	1	104	1	0	0	0	64	2	0	0	0	0	2	40
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	6	4	4	89	0	0	0	0	54	6	4	0	1	0	4	35
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	6	2	8	87	1	0	2	0	44	6	5	0	0	0	2	43
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	3	2	1	88	0	0	0	0	38	3	1	0	0	0	2	50
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	5	0	2	90	0	0	0	0	36	5	2	0	0	0	0	54
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	2	1	1	90	0	0	0	0	33	2	1	0	0	0	1	57
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	1	1	3	87	0	0	1	0	28	1	2	0	0	0	1	59
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	7	2	12	100	1	0	3	0	43	7	8	0	0	0	2	57
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	4	0	3	111	0	0	1	0	61	4	2	0	0	0	0	50
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	4	4	12	91	1	0	1	0	58	4	10	0	0	0	4	33
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	5	1	4	99	1	0	0	0	61	5	3	1	0	0	1	38
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	4	2	3	102	0	0	0	0	59	4	3	0	0	0	2	43
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	0	0	85	0	0	0	0	28	0	0	0	0	0	0	57
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	2	1	1	38	1	0	0	0	36	2	0	0	0	0	1	2
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	11	5	3	41	0	0	1	0	35	10	3	0	1	0	5	6
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	16	12	16	82	0	0	5	0	57	16	11	0	0	0	12	25
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	2	2	1	104	1	0	0	0	64	2	0	0	0	0	2	40
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	6	4	4	89	0	0	0	0	54	6	4	0	1	0	4	35
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	6	2	8	87	1	0	2	0	44	6	5	0	0	0	2	43
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	3	2	1	88	0	0	0	0	38	3	1	0	0	0	2	50
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	5	0	2	90	0	0	0	0	36	5	2	0	0	0	0	54
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	2	1	1	90	0	0	0	0	33	2	1	0	0	0	1	57
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	1	1	3	87	0	0	1	0	28	1	2	0	0	0	1	59
ORF3a	GU280_gp03	GU280_gp03	protein_coding	1	0	6	101	2	0	1	0	41	1	3	0	0	0	0	60
ORF6	GU280_gp06	GU280_gp06	protein_coding	3	0	1	82	0	0	1	0	21	3	0	0	0	0	0	61
ORF7a	GU280_gp07	GU280_gp07	protein_coding	0	0	0	82	0	0	0	0	21	0	0	0	0	0	0	61
ORF7b	GU280_gp08	GU280_gp08	protein_coding	0	0	0	80	0	0	0	0	21	0	0	0	0	0	0	59
ORF8	GU280_gp09	GU280_gp09	protein_coding	2	1	1	73	0	1	0	0	17	2	0	1	0	1	0	56
S	GU280_gp02	GU280_gp02	protein_coding	19	7	23	94	1	3	2	1	48	19	16	0	0	0	7	46
