# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	1	0	3	106	0	0	0	58	1	3	0	0	0	48
M	GU280_gp05	GU280_gp05	protein_coding	0	2	3	103	0	0	0	53	0	3	0	0	2	50
N	GU280_gp10	GU280_gp10	protein_coding	10	5	11	59	1	0	0	13	8	10	0	2	5	46
ORF10	GU280_gp11	GU280_gp11	protein_coding	0	4	4	65	0	0	0	4	0	4	0	0	4	61
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	39	41	95	49	1	0	0	49	33	94	0	6	41	0
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	23	22	47	52	0	0	0	52	19	47	0	4	22	0
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	0	1	3	26	0	0	0	26	0	3	0	0	1	0
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	5	4	3	25	0	0	0	21	3	3	0	2	4	4
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	8	4	15	66	0	0	0	50	7	15	0	1	4	16
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	2	3	4	77	0	0	0	52	2	4	0	0	3	25
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	0	0	4	87	0	0	0	60	0	4	0	0	0	27
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	3	1	4	86	0	0	0	61	3	4	0	0	1	25
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	0	4	5	85	0	0	0	55	0	5	0	0	4	30
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	2	5	7	90	0	0	0	51	2	7	0	0	5	39
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	0	0	0	103	0	0	0	53	0	0	0	0	0	50
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	3	0	2	100	0	0	0	52	2	2	0	1	0	48
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	6	6	15	102	1	0	0	53	5	14	0	1	6	49
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	4	2	15	115	0	0	0	54	4	15	0	0	2	61
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	1	6	9	107	0	0	0	54	1	9	0	0	6	53
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	3	4	4	100	0	0	0	47	2	4	1	1	4	53
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	2	1	5	103	0	0	0	49	2	5	0	0	1	54
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	0	0	101	0	0	0	52	0	0	0	0	0	49
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	0	1	3	26	0	0	0	26	0	3	0	0	1	0
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	5	4	3	25	0	0	0	21	3	3	0	2	4	4
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	8	4	15	66	0	0	0	50	7	15	0	1	4	16
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	2	3	4	77	0	0	0	52	2	4	0	0	3	25
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	0	0	4	87	0	0	0	60	0	4	0	0	0	27
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	3	1	4	86	0	0	0	61	3	4	0	0	1	25
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	0	4	5	85	0	0	0	55	0	5	0	0	4	30
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	2	5	7	90	0	0	0	51	2	7	0	0	5	39
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	0	0	0	103	0	0	0	53	0	0	0	0	0	50
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	3	0	2	100	0	0	0	52	2	2	0	1	0	48
ORF3a	GU280_gp03	GU280_gp03	protein_coding	1	2	5	110	0	0	0	62	1	5	0	0	2	48
ORF6	GU280_gp06	GU280_gp06	protein_coding	1	0	1	97	0	0	0	51	1	1	0	0	0	46
ORF7a	GU280_gp07	GU280_gp07	protein_coding	0	1	6	87	0	0	0	43	0	6	0	0	1	44
ORF7b	GU280_gp08	GU280_gp08	protein_coding	1	0	1	87	0	0	1	41	1	0	0	0	0	46
ORF8	GU280_gp09	GU280_gp09	protein_coding	1	0	1	87	0	0	0	39	1	1	0	0	0	48
S	GU280_gp02	GU280_gp02	protein_coding	7	5	24	125	1	1	0	70	7	22	0	0	5	55
