# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	0	0	0	81	0	0	0	32	0	0	0	0	0	49
M	GU280_gp05	GU280_gp05	protein_coding	6	0	6	67	1	0	2	20	6	3	0	0	0	47
N	GU280_gp10	GU280_gp10	protein_coding	8	2	5	37	2	0	1	0	7	2	0	1	2	37
ORF10	GU280_gp11	GU280_gp11	protein_coding	0	0	0	41	0	0	0	0	0	0	0	0	0	41
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	116	31	94	49	6	0	27	48	115	61	0	1	31	1
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	59	21	47	82	2	0	13	81	59	32	0	0	21	1
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	1	0	1	39	0	0	0	38	1	1	0	0	0	1
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	13	2	10	31	0	0	0	28	13	10	0	0	2	3
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	13	8	12	98	0	0	4	70	13	8	0	0	8	28
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	11	2	3	110	0	0	2	80	11	1	0	0	2	30
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	2	0	3	132	1	0	1	93	2	1	0	0	0	39
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	13	1	12	118	1	0	6	79	13	5	0	0	1	39
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	1	4	4	134	0	0	0	73	1	4	0	0	4	61
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	2	1	0	146	0	0	0	78	2	0	0	0	1	68
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	2	1	2	144	0	0	0	80	2	2	0	0	1	64
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	1	2	0	146	0	0	0	81	1	0	0	0	2	65
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	23	4	25	127	3	0	7	60	23	15	1	0	4	67
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	14	1	11	150	1	0	2	62	13	8	0	1	1	88
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	9	1	5	140	0	0	4	59	9	1	0	0	1	81
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	6	3	3	129	0	0	1	54	6	2	2	0	3	75
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	5	1	3	108	0	0	0	48	5	3	0	0	1	60
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	0	0	148	0	0	0	81	0	0	0	0	0	67
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	1	0	1	39	0	0	0	38	1	1	0	0	0	1
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	13	2	10	31	0	0	0	28	13	10	0	0	2	3
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	13	8	12	98	0	0	4	70	13	8	0	0	8	28
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	11	2	3	110	0	0	2	80	11	1	0	0	2	30
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	2	0	3	132	1	0	1	93	2	1	0	0	0	39
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	13	1	12	118	1	0	6	79	13	5	0	0	1	39
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	1	4	4	134	0	0	0	73	1	4	0	0	4	61
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	2	1	0	146	0	0	0	78	2	0	0	0	1	68
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	2	1	2	144	0	0	0	80	2	2	0	0	1	64
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	1	2	0	146	0	0	0	81	1	0	0	0	2	65
ORF3a	GU280_gp03	GU280_gp03	protein_coding	2	0	3	85	0	0	0	32	2	3	0	0	0	53
ORF6	GU280_gp06	GU280_gp06	protein_coding	1	0	3	62	0	0	0	16	1	3	0	0	0	46
ORF7a	GU280_gp07	GU280_gp07	protein_coding	0	0	0	64	0	0	0	16	0	0	0	0	0	48
ORF7b	GU280_gp08	GU280_gp08	protein_coding	0	0	0	58	0	0	0	16	0	0	0	0	0	42
ORF8	GU280_gp09	GU280_gp09	protein_coding	1	0	0	54	0	0	0	15	1	0	0	0	0	39
S	GU280_gp02	GU280_gp02	protein_coding	21	5	16	94	0	1	5	37	20	10	0	1	5	57
