# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
E	GU280_gp04	GU280_gp04	protein_coding	2	0	0	122	0	0	0	57	2	0	0	0	0	0	0	65
M	GU280_gp05	GU280_gp05	protein_coding	9	2	5	103	1	0	0	41	9	4	0	0	0	0	2	62
N	GU280_gp10	GU280_gp10	protein_coding	7	0	8	79	2	1	2	12	6	4	0	0	1	0	0	67
ORF10	GU280_gp11	GU280_gp11	protein_coding	2	0	1	71	0	0	0	9	1	1	0	0	1	0	0	62
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	82	49	83	61	6	0	6	61	80	71	0	0	3	0	49	0
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	46	31	55	39	5	0	5	39	44	45	0	0	2	0	31	0
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	0	0	4	51	1	0	0	51	0	3	0	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	4	9	15	45	1	0	2	41	4	12	0	0	0	0	9	4
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	21	9	17	85	2	0	1	53	20	14	0	0	1	0	9	32
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	3	4	2	98	0	0	0	56	3	2	0	0	0	0	4	42
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	3	2	5	88	0	0	1	51	3	4	0	0	0	0	2	37
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	2	5	2	91	0	0	0	52	2	2	0	0	0	0	5	39
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	5	2	4	83	1	0	1	42	5	2	0	0	0	0	2	41
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	3	0	1	97	0	0	0	47	2	1	0	0	1	0	0	50
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	2	0	0	94	0	0	0	45	2	0	0	0	0	0	0	49
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	2	0	4	90	0	0	0	41	2	4	0	0	0	0	0	49
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	12	9	3	105	0	0	0	54	12	3	0	0	0	0	9	51
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	8	2	5	117	1	0	0	67	8	4	0	0	1	0	2	50
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	7	2	8	118	0	0	0	73	7	8	0	0	0	0	2	45
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	5	1	7	110	0	0	1	68	5	6	2	0	0	0	1	42
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	5	4	6	111	0	0	0	61	5	6	0	0	0	0	4	50
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	1	0	1	90	0	0	0	39	1	1	0	0	0	0	0	51
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	0	0	4	51	1	0	0	51	0	3	0	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	4	9	15	45	1	0	2	41	4	12	0	0	0	0	9	4
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	21	9	17	85	2	0	1	53	20	14	0	0	1	0	9	32
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	3	4	2	98	0	0	0	56	3	2	0	0	0	0	4	42
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	3	2	5	88	0	0	1	51	3	4	0	0	0	0	2	37
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	2	5	2	91	0	0	0	52	2	2	0	0	0	0	5	39
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	5	2	4	83	1	0	1	42	5	2	0	0	0	0	2	41
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	3	0	1	97	0	0	0	47	2	1	0	0	1	0	0	50
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	2	0	0	94	0	0	0	45	2	0	0	0	0	0	0	49
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	2	0	4	90	0	0	0	41	2	4	0	0	0	0	0	49
ORF3a	GU280_gp03	GU280_gp03	protein_coding	1	4	3	128	0	0	1	59	1	2	0	0	0	0	4	69
ORF6	GU280_gp06	GU280_gp06	protein_coding	2	2	2	102	0	0	3	35	1	0	1	0	0	1	2	67
ORF7a	GU280_gp07	GU280_gp07	protein_coding	2	0	3	101	3	0	0	31	1	1	2	0	0	2	0	70
ORF7b	GU280_gp08	GU280_gp08	protein_coding	2	0	1	99	1	0	1	29	1	0	0	2	0	0	0	70
ORF8	GU280_gp09	GU280_gp09	protein_coding	1	0	1	95	0	0	0	27	1	1	0	0	0	0	0	68
S	GU280_gp02	GU280_gp02	protein_coding	19	4	28	125	4	1	5	67	18	18	0	0	1	0	4	58
